Nazwa,Nazwa przedsięwzięcia,Miejsce Realizacji Województwo,Grantobiorca Miejscowość,Grantobiorca Ulica,Grantobiorca Nr budynku,Grantobiorca Kod pocztowy,Wartość wsparcia
CLEOPATRA PREMIUM SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,"Wdrożenie w działalności Wnioskodawcy nowej, nieistniejącej wcześniej w ofercie Wnioskodawcy, usługi w postaci dzierżawy i wypożyczania łodzi żaglowej bez załogi, powodującej wprowadzenie nowego zakresu działalności i zwiększenia odporności przedsiębiorstwa Cleopatra Premium Sp. z o.o. na sytuacje kryzysowe- Region 3 Województwo łódzkie",Łódzkie,Lublin,Trześniowska,63,20-227,469807.87
OZDOBA I SYN S.C.,Wzmocnienie odporności firmy OZDOBA I SYN S.C. poprzez inwestycje w nowe usługi oraz zieloną i cyfrową transformację,ŁÓDZKIE,Łódź,,8,94-302,292095
Restauracja Pod Czaplą Dobrowolscy spółka cywilna,Wzmocnienie odporności Restauracji Pod Czaplą działającej w regionie 4 poprzezwdrożenie nowych usług do oferty.,ŚLĄSKIE,Bytom,Stanisława Moniuszki,8,41-902,305690.6
WIOLETTA I MICHAŁ LISZOWSCY SPÓŁKA CYWILNA,"Inwestycja spółki WIOLETTA I MICHAŁ LISZOWSCY SPÓŁKA CYWILNA w zakup wyposażenia/sprzętów kuchennych, wyposażenia ogródków letnich i wprowadzenia zielonej i cyfrowej transformacji w 2 placówkach gastronomicznych w województwie śląskim, w celu umocnienia pozycji rynkowej przedsiębiorstwa na wypadek sytuacji kryzysowych.",ŚLĄSKIE,Żory,Józefa Mikołajca,17,44-240,113032.23
"PRZEDSIĘBIORSTWO USŁUGOWO-HANDLOWE ""IWO"" IWONA GARCZAREK-CIEKOT",Projekt ZIELONA OLIWKA: Rewolucja w gastronomii Gliwic poprzez remont i stworzenie nowego miejsca spotkań – Restauracji-Pizzerii z bogatą ofertą pizzy na drewno.,ŚLĄSKIE,Zabrze,Jagiellońska,38,41-800,416997.9
Słodki Przystanek Monika Krzyszczuk,Rozszerzenie oferty produktowej przedsiębiorstwa „SŁODKI PRZYSTANEK MONIKA KRZYSZCZUK” wraz z wejściem na rynek cateringowy w celu zwiększenia odporności firmy na potencjalne przyszłe kryzysy – region 4: woj. OPOLSKIE,OPOLSKIE,Brzeg,Księdza Makarskiego,37,49-300,214023.48
KINGA S.C. JAROSŁAW I JOANNA WITAS,Projekt zrównoważonego rozwoju hotelu Kinga,ŚLĄSKIE,Żarki-Letnisko,Nadrzeczna,35,42-311,462702.6
BODEKO HOTELE SPÓŁKA ZOGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Eko-Innowacje w HoReCa: Rozwój Zrównoważonej Infrastruktury Turystycznej i Gastronomicznej w Osadzie Zborów,ŚLĄSKIE,Wisła,Jawornik,52A,43-460,352445.94
"Przedsiębiorstwo Hotelarsko-Turystyczne ""ODYS"" Spółka z ograniczoną odpowiedzialnością",Wprowadzenie nowych usług do oferty Ośrodka na terenie województwa śląskiego,ŚLĄSKIE,Tresna,Nad Jeziorem,99,34-311,479320.85
NEW YORK HOT DOG KRZYSZTOF KUDANOWSKI SPÓŁKA JAWNA,Zwiększenie odporności firmy New York Hot Dogs na sytuacje kryzysowe poprzez rozszerzenie prowadzonej działalności w zakresie asortymentów produktów i sposobu dostarczania produktów,ŁÓDZKIE,Łódź,Kaczeńcowa,10,91-214,402430.08
MAGNUS ROYAL SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA,"Inwestycja w rozszerzenie działalności polegająca na utworzeniu strefy SPA, wykonaniu instalacji OZE, zakupie robota sprzątającego oraz wykonaniu szkolenia wrazz audytem dot. rozpoznawalności marki w mediach społecznościowych na tereniehotelu Magnus Resort w Bystrej na obszarze Regionu 4 obejmującego województwa łódzkie, opolskie, śląskie",ŚLĄSKIE,Bystra,Juliana Fałata,222,43-360,537300
F.H.U. Anna Bielenin,"Rozszerzenie działalności Restauracji ""Nowy Świat"" o nowe produkty i usługi",ŚLĄSKIE,Bielsko-Biała,Łukowa,7,43-300,217703.97
MIGAŁA EWA FIRMA ONDRASZEK,Dywersyfikacja działalności restauracyjnej i wdrożenie nowego produktu w Restauracji Ondraszkowa Izba.,ŚLĄSKIE,Wisła,1 Maja,56,43-460,422826.55
ANNA PASTERNY INWESTYCJE,Rozwój Kompleksu Góralskiego SPA-Jaworowa Osada: Inwestycja w Wellness i Turystykę Zdrowotną w Brennej w Beskidzie Śląskim,ŚLĄSKIE,Ustroń,Jelenica,17,43-450,499054.1
TAURUS EXTREME SEWERYN DROBISZ,"Dywersyfikacja działalności firmy Taurus Extreme Seweryn Drobisz poprzez wprowadzenie nowych usług - wypożyczalni rowerów szosowych oraz specjalistycznych treningów kolarskich w regionie 4, w województwie śląskim.",ŚLĄSKIE,Ruda Śląska,Piernikarczyka,2,41-711,262872
Robert Sklorz PARTY KAJAKI,„Rozszerzenie działalności prowadzonej przez „Robert Sklorz PARTY KAJAKI” w regionie opolskim o nowe usługi w celu ograniczenia skutków kryzysu wywołanego przez COVID-19”.,OPOLSKIE,Staniszcze Małe,Granica,6a,47-113,477000
Sandra Juroszek,Lunch na patio w Bombon Cafe - wprowadzenie usługi lunchowej z opcją dowozu. Region 4 - woj. śląskie,ŚLĄSKIE,Wisła,1 Maja,64,43-460,227678
S.C. Beata Zdebel," Arkadiusz Zdebel, Dacjusz Zdebel,Rozszerzenie działalności S.C. BEATA ZDEBEL, ARKADIUSZ ZDEBEL, DACJUSZZDEBEL poprzez wdrożenie usługi serwowania posiłków na wynos oraz usługi profesjonalnej organizacji eventów - konferencji/szkoleń online wraz z udostępnieniem platformy do sprzedaży i rezerwacji terminów. Region 4, województwo śląskie.",ŚLĄSKIE,Piekary Śląskie,Stara,1,41-940,402270
Krzysztof Bolik,Rozszerzenie usług Karczmy Pod Ochodzitą znajdującej się w Koniakowie na terenie woj. śląskiego o organizację imprez plenerowych oraz wypożyczalnię sprzętu cateringowego,ŚLĄSKIE,Koniaków,,205,43-474,413898.39
Dawid Bronowicki,"Rozszerzenie działalności firmy o usługę sprzedaży dań z makaronu w mobilnej przyczepie gastronomicznej pozwalającej na obsługę klientów w atrakcyjnych lokalizacjach w województwie opolskim, w szczególności w gminie Brzeg.",OPOLSKIE,Brzeg,Stefana Żeromskiego,13,49-305,99261.88
U FOJTA SC DARIUSZ KONDERLA,"MAREK CIEŚLAR,Rozszerzenie oferty firmy o wynajem sprzętu rekreacyjnego oraz organizację imprez plenerowych w regionie nr 4 województwie śląskim",ŚLĄSKIE,Wisła,Branców,2,43-460,390716.49
JAROSŁAW KRYKWIŃSKI Agencja Promocji Eksportu,"Wprowadzenie usługi organizacji targów, wystaw i kongresów za pośrednictwemlub z użyciem przesyłania strumieniowego wraz z fizycznym i mobilnym studiemdo realizacji nagrań",ŚLĄSKIE,Częstochowa,al. Aleja Najświętszej Maryi Panny,24,42-202,539329.04
"Sala Przyjęć Okolicznościowych ""DAGA"" Dagmara Jasińska","Dywersyfikacja działalności Sala Przyjęć Okolicznościowych „DAGA” Dagmara Jasińska o nowe usługi w regionie 4 obejmującym województwa łódzkie, opolskie i śląskie poprzez zakup środków trwałych i wartości niematerialnych i prawnych.",ŚLĄSKIE,Czarny Las,Częstochowska,262,42-233,304649.82
Wyspa Łakoci Jarosław Marut,Śniadania i Cukiernicze Popisy z Wyspą Łakoci. Region 4 woj. śląskie.,ŚLĄSKIE,Gliwice,Krupnicza,12,44-100,97565
PPUH LAZUR MOLENDA MARCIN,Dywersyfikacja i poszerzenie działalności restauracji w województwie śląskim poprzez inwestycję w przygotowanie obiektu do najmu krótkoterminowego jako szansę na uniezależnienie się od jednego profilu działalności.,ŚLĄSKIE,Katowice,Mikołaja Kopernika,9,40-064,413910.72
STOŁÓWKA MAŁGORZATA SPÓŁKA CYWILNA KATARZYNA GÓRA-PŁOSKONKA," JAROSŁAW PŁOSKONKA,Dywersyfikacja działalności Spółki w kierunku działalności restauracyjnej w celu zwiększenia odporności na gospodarcze sytuacje kryzysowe w województwie śląskim.",ŚLĄSKIE,Czechowice-Dziedzice,Legionów,244,43-502,414370.2
GLOBAL Spółka z ograniczoną odpowiedzialnością,Dywersyfikacja działalności Spółki w kierunku usług poprawy kondycji fizycznej świadczonych w nowopowstałej strefie saun w województwie śląskim,ŚLĄSKIE,Szczyrk,Beskidzka,40,43-370,416492.16
ZAPIECEK TERESA EWA WĄCZEK,Rozszerzenie usług w przedsiębiorstwie Zapiecek Teresa Ewa Wączek o organizację imprez plenerowych w województwie opolskim.,OPOLSKIE,Mirowszczyzna,,62,46-325,509480.61
CEGAL Artur Gawlik Marek Gawlik Spółka komandytowa,Rozszerzenie działalności Hotelu Ambasador Centrum poprzez budowę saunarium z uwzględnieniem oddziaływania na środowisko naturalne związane z zastosowaniem systemu wysokosoprawnej mikrokogeneracji. Region łódzki.,ŁÓDZKIE,Łódź,Kosynierów Gdyńskich,8,93-320,473921
ZACISZE RESTAURACJA Z TRADYCJAMI MAREK RYGUŁA,"Rozszerzenie profilu dotychczasowej działalności przedsiębiorstwa ZACISZERESTAURACJA Z TRADYCJAMI MAREK RYGUŁA z siedzibą w województwieśląskim, powiecie pszczyńskim, gminie Pszczyna, miejscowości Brzeźce (kod pocztowy: 43-200), przy ul. Ofiar Faszyzmu 4 (Region 4 obejmujący województwa łódzkie,opolskie i śląskie) poprzez inwestycje w bazę usługowo-produkcyjną, podniesieniekwalifikacji pracowników oraz usługę doradczą na rzecz Jego rozwoju",ŚLĄSKIE,Brzeźce,Ofiar Faszyzmu,4,43-200,450000
DIG GROUP SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,"Zakup wyposażenia gastronomicznego przez DIG Group Sp. z o. o w celu rozszerzenia i udoskonalenia oferty restauracji na terenie Regionu nr 4 obejmującego województwa: łódzkie, opolskie i śląskie",ŚLĄSKIE,Wrocław,Tęczowa,20,53-702,412878.25
Rudolf Klimek," Przedsiębiorstwo Handlowo Usługowo Produkcyjne,Wejście w nowe obszary działalności drogą do wzrostu konkurencyjności firmy na terenie województwa śląskiego oraz promocji województwa śląskiego i wyrobów regionalnych",ŚLĄSKIE,Rudy,Rogera,13,47-430,539999.98
MAREK SZOŁTYSEK,Rozszerzenie działalności Karczmy Rajcula w Paniówkach (woj. śląskie) związane z wprowadzeniem nowych usług dla klientów. - REGION 4.,ŚLĄSKIE,Paniówki,Gliwicka,2D,44-177,429350.61
Przedsiębiorstwo KOMPOL Spółka z ograniczoną odpowiedzialnością,Nowy wymiar Hotelu Krokus w Wiśle - region śląski,ŚLĄSKIE,Bielsko-Biała,Kazimierza Pułaskiego,4A,43-300,504000
CATERING ARTS EWELINA CZAJKA,Zakup sprzętu umożliwiającego dywersyfikację działalności cateringowej na terenie województwa śląskiego poprzez wprowadzenie nowych produktów dotąd nieświadczonych,ŚLĄSKIE,Chorzów,Hajducka,84,41-506,473833.53
KRUMIX ŁUKASZ KRUTAK,Rozszerzenie działalności firmy KRUMIX ŁUKASZ KRUTAK w województwie opolskim,OPOLSKIE,Głuchołazy,Aleja Jana Pawła II,38,48-340,506613.24
AUSTERIA FRYDRYCH-LANGER SPÓŁKA JAWNA,"Rozszerzenie profilu dotychczasowej działalności przedsiębiorstwa ""AUSTERIA""FRYDRYCH-LANGER SPÓŁKA JAWNA z siedzibą w województwie śląskim, powiecie pszczyńskim, gminie Pszczyna, miejscowości Ćwiklice (kod pocztowy: 43-229), przy ul. Męczenników Oświęcimskich 115 (Region 4 obejmujący województwa łódzkie, opolskie i śląskie) poprzez inwestycje w bazę usługowo-produkcyjną, podniesienie kwalifikacji pracowników oraz usługę doradczą na rzecz Jego rozwoju.",ŚLĄSKIE,Ćwiklice,Męczenników Oświęcimskich,115,43-229,254205.6
STRZELNICA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Zwiększenie odporności Resortu Strzelnica z województwa śląskiego na sytuacje kryzysowe poprzez rozszerzenie oferowanych usług.,ŚLĄSKIE,Kochcice,Lubliniecka,9,42-713,506489.7
Sensownie Dominika Dytko,"Adaptacja lokalu znajdującego się w Rybniku ,województwo śląskie na potrzeby stworzenia Bistro-Cafe-Wine- Bar Frykasy i wprowadzenie specjalistycznych cateringów.",ŚLĄSKIE,Rybnik,Jana III Sobieskiego,10,44-200,431949.84
Bożena Biernot ~BATI~,Dywersyfikacja działalności Firmy BATI z regionu woj. śląskiego poprzez utworzenie marki Cafe by Korbasowy,ŚLĄSKIE,Cieszyn,Hażlaska,135,43-400,479940
RNB SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Dywersyfikacja działalności poprzez otwarcie pijalni soków i napojów drogą dozwiększenia odporności Spółki w województwie śląskim.,ŚLĄSKIE,Bielsko-Biała,Pocztowa,39,43-300,419638.46
"PUH ""BMT"" SPÓŁKA CYWILNA TADEUSZ MACHURA"," PAWEŁ BĘDKOWSKI, DAMIAN BĘDKOWSKI,Zwiększenie odporności przedsiębiorstwa PUH ""BMT"" SPÓŁKA CYWILNA TADEUSZMACHURA, PAWEŁ BĘDKOWSKI, DAMIAN BĘDKOWSKI na sytuacje kryzysowe w wyniku rozszerzenia prowadzonej działalności (REGION 4: województwo śląskie)",ŚLĄSKIE,Brudzowice,Katowicka,10,42-470,120068.08
Soja Agnieszka Glob-Net,"Utrzymanie konkurencyjności firmy poprzez wdrożenie nowych, innowacyjnych usług rekreacyjnych oraz dodatkowych usług eventowych",ŚLĄSKIE,Będzin,11 Listopada,10,42-500,474000
BESKID RESORT PROPERTIES SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,"Dywersyfikacja i uodpornienie na przyszłe kryzysy prowadzonej działalności hotelowej poprzez unowocześnienie bazy usługowej w zakresie strefy basenowej, saun i masaży oraz uruchomienie świadczenia nowej usługi obejmującej Rytuał Rasul w hotelu zlokalizowanym w Szczyrku, woj. śląskie (Region 4)",ŚLĄSKIE,Szczyrk,Wrzosowa,28A,43-370,479400.02
Tauria Sp. z o.o.,"Rozszerzenie oferty usług gastronomicznych w regionie Śląskim poprzez wdrożenie usług kateringowych, cyfryzację i ekoinnowacje.",ŚLĄSKIE,Katowice,al. Aleja Wojciecha Korfantego,2,40-004,468288.91
Klub Młyn Rafał Kulejewski,Dywersyfikacja działalności gastronomicznej Klubu Młyn na terenie województwaśląskiego - region 4,ŚLĄSKIE,Lubliniec,Plebiscytowa,43,42-700,443716.35
WK TRADE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Dywersyfikacja działalności firmy poprzez otwarcie nowego mobilnego punktu gastronomicznego w województwie śląskim - region 4,ŚLĄSKIE,Lubliniec,Oleska,20,42-700,413337.01
Victus Tomasz Brzezina,Wdrożenie nowych usług w Restauracji Bohema w Katowicach (woj. śląskie),ŚLĄSKIE,Katowice,Bratków,4,40-045,233472.69
KMM INVESTMENTS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Inwestycja w rozwój i uodpornienie na sytuacje kryzysowe działalności przedsiębiorstwa KMM Investments Sp. z o.o. realizowana w województwie śląskim,ŚLĄSKIE,Gliwice,Jana Karola Chodkiewicza,33,44-100,394422.17
META INTERNATIONAL SPÓŁKA ZOGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,"Dywersyfikacja działalności Spółki z branży hotelarskiej poprzez wejście na nowy rynek usług gastronomicznych - usługi life cooking oraz przygotowanie i podawanie posiłków na wynos/ z dowozem, wsparta rozszerzeniem obecnej działalności w postaci organizacji turnusów wellness z life cooking coaching w celu zwiększenia odporności na gospodarcze sytuacje kryzysowe przedsiębiorstwa w województwie śląskim.",ŚLĄSKIE,Szczyrk,Skośna,4,43-370,417617.74
FOOD & FUN SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,"Przedsięwzięcie inwestycyjne w firmie FOOD & FUN sp. z o.o. polegające na rozszerzeniu i dywersyfikacji działalności w celu zwiększenia odporności na przyszłe kryzysy, realizowane Katowicach w regionie nr 4",Śląskie,Poznań,Jana Długosza,25A,60-556,446527.75
"Nikola Rust-Olearczuk ""PARK-HOTEL""","Udzielenie pomocy finansowej na przedsięwzięcia MŚP prowadzących mikro, małymi średnim przedsiębiorstwom prowadzącym działalność w sektorze hotelarstwa, gastronomii, turystyki lub kultury na realizację przedsięwzięć MŚP w ramach Inwestycji A1.2.1KPOz regionu nr 4 obejmującego województwa: łódzkie, opolskie, śląskie.",OPOLSKIE,Dobrodzień,Parkowa,5,46-380,164015.11
FOOD & FUN TOMASZ FRIEDEL,"Przedsięwzięcie inwestycyjne w firmie FOOD & FUN TOMASZ FRIEDEL polegające na rozszerzeniu i dywersyfikacji działalności w celu zwiększenia odporności na przyszłe kryzysy, realizowane Katowicach w regionie nr 4",ŚLĄSKIE,Poznań,Stanisława Taczaka,11,61-819,436472.56
FOOD & FUN I SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,"Przedsięwzięcie inwestycyjne w firmie FOOD & FUN I sp. z o.o. polegające narozszerzeniu i dywersyfikacji działalności w celu zwiększenia odporności na przyszłekryzysy, realizowane Katowicach w regionie nr 4",Śląskie,Poznań,Jana Długosza,25A,60-556,396398.01
PDK HOTELE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,"Dywersyfikacja działalności Hotelu Mościcki poprzez podjęcie działań inwestycyjnych, doradczych i szkoleniowych w ramach przedsięwzięcia realizowanego w województwie łódzkim (region 4).",ŁÓDZKIE,Spała,Nadpiliczna,2,97-215,399033.18
RESTAURACJA MARKUS MARIAN OBLONG,Rozszerzenie działalności restauracji Markus w Kolonowskiem w województwie opolskim. poprzez uruchomienie nowych produktów i cyfryzacja systemu rejestracji gości do pokoi noclegowych - region 4.,OPOLSKIE,Kolonowskie,Krótka,8,47-110,419939.98
COTTONFOOD SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Dywersyfikacja działalności firmy poprzez wdrożenie usługi cateringu dedykowanego (Region nr 4),ŁÓDZKIE,Łódź,Ogrodowa,19A,91-065,327337.31
HOTEL SHUMA SPÓŁKA JAWNA LATOS,Rozszerzenie i dywersyfikacja działalności Hotelu Shuma w celu zwiększeniaodporności na przyszłe kryzysy poprzez inwestycje w projekcie realizowane wDąbrowie Górniczej w województwie śląskim (Region 4),ŚLĄSKIE,Dąbrowa Górnicza,Żeglarska,20,41-303,320977
FREETIME POLAND AGATA TYMIŃSKA,"Wzmocnienie odporności na wypadek kolejnych kryzysów poprzez podjęcie działań inwestycyjnych, doradczych i szkoleniowych przez firmę ""FREETIME POLAND"" AGATA TYMIŃSKA w ramach projektu realizowanego w województwie łódzkim (region 4) zmierzających do rozszerzenie działalności i wprowadzenia nowej usług.",ŁÓDZKIE,Rosanów,Letnia,5/9,95-100,413480.52
Judyta Makulik,Rozszerzenie działalności firmy poprzez uruchomienie bazy noclegowej na tereniewojewództwa śląskiego,ŚLĄSKIE,Raszczyce,Szkolna,1,47-435,539999.98
''Brax-Ton'' R.J. Makulik Spółka Jawna,"Wdrożenie nowych usług związanych z organizacją targów, wystaw i kongresów dodziałalności firmy na terenie województwa śląskiego",ŚLĄSKIE,Racibórz,Rynek,13,47-400,539999.99
Anna Kowalczyk Polish Adventure,"Nowy wymiar kompleksu ""Happy Hours"" - region śląski",ŚLĄSKIE,Bielsko-Biała,3 Maja,13,43-300,330989.04
"BIURO PODRÓŻY ""ZATUR"" KATARZYNA WRÓBLEWSKA",Zakup innowacyjnego sprzętu multimedialnego w celu dywersyfikacji usług wbranży HoReCa (Region 4 – województwo śląskie),ŚLĄSKIE,Zabrze,3 Maja,11a,41-800,539924.4
"KRAKOWIAK-MILER LUCYNA ""MAXIMA"" - TUR","Poszerzenie działalności obiektu ""Willa pod Starą Skocznią"" o usługi umożliwiające turystom poznawanie walorów przyrodniczo-krajoznawczych oraz atrakcji turystycznych w regionie woj. śląskiego miasto Wisła poprzez korzystanie z rowerów oraz ""zestawów górskiego piechura"" z uwzględnieniem potrzeb osób niepełnosprawnych.",ŚLĄSKIE,Wisła,Leśna,20,43-460,115084.03
ODA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,"Zwiększenie odporności przedsiębiorstwa na kryzysy gospodarcze oraz wzmocnienie pozycji konkurencyjnej poprzez wprowadzenie w Regionie 4 w województwie śląskim dwóch nowych usług cateringu okolicznościowego i samodzielnego rezerwowania pokoju, meldowania, płatności i wymeldowania skutkujące dywersyfikacją i rozszerzeniem aktualnej działalności.",ŚLĄSKIE,Gliwice,Mazowiecka,44,44-100,520441.2
m-group s.c. MICHAŁ SOBOTA MATEUSZ SOBOTA,"Delikatesy Mojego Brata - rozszerzenie działalności restauracji o sprzedaż lokalnych produktów, półproduktów i przekąsek wsparte analizą biznesową, szkoleniami oraz niezbędnymi działaniami inwestycyjnymi, w tym również ekologicznymi i cyfrowymi",ŚLĄSKIE,Zawiercie,Józefa Piłsudskiego,91,42-400,293112.12
Czarny Staw-Panda Bis BEATA ANTCZAK,"Wzmocnienie odporności na wypadek kolejnych kryzysów poprzez podjęciedziałań inwestycyjnych, doradczych i szkoleniowych przez firmę "" ""CZARNYSTAW-PANDA BIS"" BEATA ANTCZAK w ramach projektu realizowanego w województwie łódzkim (region 4) zmierzających do rozszerzenie działalności iwprowadzenia nowych usług.",ŁÓDZKIE,Nowy Adamów,,3,95-070,417109.62
TAKE A FRUIT SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Inwestycje w przedsiębiorstwie Take a Fruit sp. z o.o. w celu dywersyfikacji oraz rozszerzenia oferty w woj. śląskim.,ŚLĄSKIE,Warszawa,Twarda,18,00-105,419045.53
MAG-DRIVE MAGDALENA CISEK,Uruchomienie nowej usługi gastronomicznej w formie organizacji eventów plenerowych w województwie śląskim - catering na kółkach.,ŚLĄSKIE,Bielsko-Biała,Strażacka,81,43-382,356584.5
Karczma WRAZIDLOK Jacek Wojdyło,Rozszerzenie działalności Karczmy WRAZIDLOK w Nieborowicach (woj. śląskie)związane z wprowadzeniem nowej oferty dla klientów. - REGION 4.,ŚLĄSKIE,Nieborowice,Kasztanowa,1,44-144,328695.38
Anna Lipińska OŚRODEK TURYSTYCZNO - REKREACYJNY W PRZYSIECZY,"Rozszerzenie działalności przedsiębiorstwa Anna Lipińska OŚRODEK TURYSTYCZNO - REKREACYJNY W PRZYSIECZY na terenie województwa opolskiego, poprzez wprowadzenie nowych usług.",OPOLSKIE,Przysiecz,Stawowa,2,46-060,539995.21
"Alfreda Perczak PPHU""POL-TRANS-CATERING"" EXPORT-IMPORT","Dywersyfikacja działalności Alfreda Perczak PPHU ""POL-TRANS-CATERING"" EXPORT-IMPORT w celu rozbudowy i umocnienie pozycji w branży HoReCa w województwie śląskim",ŚLĄSKIE,Mierzęcice,Osiedle,166,42-460,388885.56
Anna Kliszewska Zakład Usługowo Handlowy POP - ART,Rozbudowa przedsiębiorstwa oraz wdrożenie nowych usług celem dywersyfikacjidziałalności podmiotu działającego w województwie śląskim,ŚLĄSKIE,Częstochowa,Śląska,16,42-217,351072.99
MAŁA OSADA Beata Brylewska,Wzmocnienie pozycji konkurencyjnej przedsiębiorstwa Mała Osada poprzez dywersyfikację profilu działalności,ŚLĄSKIE,Szczyrk,Salmopolska,2E,43-370,280918.26
WOJGAST Jakub Łukasik,"Wzmocnienie odporności na wypadek kolejnych kryzysów poprzez podjęcie działań inwestycyjnych, doradczych i szkoleniowych przez firmę „WOJGAST Jakub Łukasik” w ramach projektu realizowanego w województwie łódzkim (region 4) zmierzających do zdywersyfikowania działalności i wprowadzenia nowej usługi.",ŁÓDZKIE,Pęczniew,Spacerowa,50,99-235,419359.26
Centrum Podróży S.C. Mariusz Owczarz," Dariusz Pala,Zwiedzanie na dwóch kółkach - uruchomienie nowej usługi turystycznej w województwie śląskim w formie wypożyczalni rowerów górskich celem zwiedzania okolic Bielska-Białej.",ŚLĄSKIE,Bielsko-Biała,Ratuszowa,3,43-300,540000
Grzegorz Pońc,Dywersyfikacja działalności w obszarze cateringu,ŚLĄSKIE,Goleszów,Wiejska,22A,43-440,503320
"Aleksandra Kulawiak PrzedsiębiorstwoHandlowo-Usługowe ""ALEKSANDRA""Kulawiak Aleksandra","Wzmocnienie odporności na wypadek kolejnych kryzysów poprzez podjęcie działań inwestycyjnych, doradczych i szkoleniowych przez firmę Aleksandra KulawiakPrzedsiębiorstwo Handlowo-Usługowe ""ALEKSANDRA"" Kulawiak Aleksandra w ramach projektu realizowanego w województwie łódzkim (region 4) zmierzających do rozszerzenie działalności i wprowadzenia nowych usług.",ŁÓDZKIE,Wróblew,,9,98-285,378565.42
ANIRE2 SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA JAWNA ,Wdrożenie całkowicie nowych dwóch usług do oferty firmy Anire2 w celu dokonania dywersyfikacji działalności na terenie województwa śląskiego,ŚLĄSKIE,Katowice,Henryka Mikołaja Góreckiego,13,40-204,419400.02
STEK I WINO SPÓŁKA CYWILNA MARIUSZ OWCZARZ," DARIUSZ PALA,Uruchomienie Nikkei Sushi Lab w centrum Bielska-Białej w województwie śląskim, serwującej dania Kuchni Nikkei, stanowiącej hybrydę japońskiej i peruwiańskiej tradycji kulinarnej.",ŚLĄSKIE,Bielsko-Biała,Ratuszowa,3,43-300,540000
"Urszula Karczmit ""SFINKS""","Dywersyfikacja usług agencji turystycznej ""Sfinks"" poprzez dodanie do oferty wypożyczalni kajtów.",OPOLSKIE,Opole,Henryka Sienkiewicza,1,45-037,299783.98
FAF SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Zakup nowatorskiego sprzętu multimedialnego w celu dywersyfikacji usług w branży HoReCa (Region 4 – województwo śląskie),ŚLĄSKIE,Winowno,Opolska,71,42-350,538818.3
RESTAURACJA W STARYM MŁYNIE KAROLINA BURDA,"Rozszerzenie oferty przedsiębiorstwa: ""Restauracja w Starym Młynie Karolina Burda"" o świadczenie usług noclegowych, udostepnienie kompletnego zaplecza do organizacji szkoleń/konferencji i uruchomienie sprzedaży lodów włoskich.",ŚLĄSKIE,Zbrosławice,Wolności,28A,42-674,536767.62
Upojeni spółka z ograniczoną odpowiedzialnością,"Zwiększenie odporności przedsiębiorstwa „Upojeni spółka z ograniczoną odpowiedzialnością” oraz rozszerzenie działalności gospodarczej przez wprowadzenie innowacyjnego autonomicznego azjatyckiego grilla, w restauracji azjatyckiej na terenie województwa śląskiego (region 4).",ŚLĄSKIE,Katowice,św. Jana,10,40-012,403520
"JULIAN GACZKOWSKI FIRMA ""AUTOTOM""",Dywersyfikacja działalności Spółki i wdrożenie nowych usług gastronomicznych i turystycznych mających na celu zwiększenie odporności na gospodarcze sytuacje kryzysowe przedsiębiorstwa działającego na terenie województwa śląskiego,ŚLĄSKIE,Wisła,Wyzwolenia,104,43-460,357133.79
FAGO Rafał Czuchrowski,Dywersyfikacja oferty w firmie działającej w branży gastronomicznej w regionie nr4 - woj. śląskim poprzez realizację komponentu inwestycyjnego.,ŚLĄSKIE,Katowice,3 Maja,23,40-097,485040
GASTRO MIX SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Inwestycja w rozwój i uodpornienie na sytuacje kryzysowe działalności przedsiębiorstwa GASTRO MIX Sp. z o.o. realizowana w województwie śląskim,ŚLĄSKIE,Katowice,Storczyków,32A,40-748,443556.03
