Nazwa,Nazwa przedsięwzięcia,Miejsce Realizacji Województwo,Grantobiorca Miejscowość,Grantobiorca Ulica,Grantobiorca Nr budynku,Grantobiorca Kod pocztowy,Wartość wsparcia
"PRZEDSIĘBIORSTWO HANDLOWO USŁUGOWE ""RELAKS"" Andrzej BIAŁOWSKI","DYWERSYFIKACJA DZIAŁALNOŚCI FIRMY PHU ""RELAKS"" ANDRZEJ BIAŁOWSKI W CELU UODPORNIENIA NA PRZYSZŁE KRYZYSY.",POMORSKIE,Wejherowo,Spokojna,15,84-200,539346.6
PALLADIUM Spółka z ograniczona odpowiedzialnością Spółka komandytowa,Wotele Palladium - dywersyfikacja usług zakwaterowania w standardzie hotelowym,POMORSKIE,Gdańsk,Józefa Czyżewskiego,20,80-336,540000
STOWARZYSZENIE KLINIKA JEŹDZIECKA,"Wzmocnienie odporności i konkurencyjności Kliniki Jeździeckiej poprzez budowę obiektu turystycznego ośrodka szkoleniowo-wypoczynkowego, województwo Kujawsko- Pomorskiego - REGION 1.",KUJAWSKO-POMORSKIE,Lubcza,,49A,89-422,538908.3
MKM Michał Niedźwiecki,Dywersyfikacja działalności firmy MKM Michał Niedźwiecki i uodpornienie na przyszłe kryzysy poprzez wprowadzenie do oferty nowej usługi - Region 1,POMORSKIE,Łeba,Obrońców Westerplatte,16,84-360,63575.9
"Marcin Orlicki F.H.U. ""METROPOLIS""",Wprowadzenie nowych usług w przedsiębiorstwie z Regionu 1 województwo pomorskie w celu łagodzenie skutków pandemii Covid 19.,POMORSKIE,Brzyczyna (część miejscowości Gaj),,101,32-031,275249.97
Restauracja Gryf Stanisław Sypion,"Dywersyfikacja usług w Restauracji Gryf Stanisław Sypion sposobem na zabezpieczenie firmy na przyszłe kryzysy– Region 1”,",POMORSKIE,Żukowo (miasto),Gdańska,39,83-330,269174.64
"FIRMA HANDLOWO - USŁUGOWA ""GRAFIT"" DARIUSZ SZCZEPANIK",Zwiększenie odporności przedsiębiorstwa na sytuacje kryzysowe poprzez rozszerzenie oferowanych usług w firmie FIRMA HANDLOWO- USŁUGOWA „GRAFIT” DARIUSZ SZCZEPANIK województwo Zachodniopomorskie Region 1,ZACHODNIOPOMORSKIE,Strzegom,Kościelna,11,58-150,495628.2
BON-TON PRZEDSIĘBIORSTWO PRODUKCYJNO -HANDLOWE ROMAN GRYGLEWSKI,Dywersyfikacja działalności prowadzonej przez BON-TON PRZEDSIĘBIORSTWO PRODUKCYJNO - HANDLOWE ROMAN GRYGLEWSKI w regionie zachodniopomorskim w celu ograniczenia skutków kryzysu wywołanego przez COVID-1,ZACHODNIOPOMORSKIE,Szczecin,Reduty Ordona,65,71-202,527394.6
GASTROFAZA Przemysław Ziemski,"Dywersyfikacja, zwiększenie odporności na sytuacje kryzysowe i wprowadzenie nowej usługi w firmie GASTROFAZA Przemysław Ziemski w woj. Pomorskim Region 1",POMORSKIE,Damnica,Strażacka,1,76-231,539435.86
FIRMA USŁUGOWA HURTPOL ARTUR JANASZCZYK,Rozszerzenie i dywersyfikacja działalności firmy HURTPOL ze Szczecina polegająca na uruchomieniu wypożyczalni innowacyjnych i ekologicznych łodzi wycieczkowych napędzanych energią słoneczną,ZACHODNIOPOMORSKIE,Szczecin,Wymarzona,43,71-799,539999.09
Iwona Lewalska LeVilla,Rozszerzenie działalności o usługę FamilyPicnicZone - Polska Fundacja Przedsiębiorczości - pomorskie,POMORSKIE,Rewa,Surfingowa,9,81-198,107862.45
"PRZEDSIĘBIORSTWO WIELOBRANŻOWE ""PROFIT"" KRYSTYNA KLINKOSZ","Rozszerzenie działalności P.W. ""PROFIT"" poprzez realizację inwestycji w branży HORECA w Łebie w województwie pomorskim",POMORSKIE,Łeba,Szkolna,1A,84-360,297465.3
Metropolis spółka z ograniczoną odpowiedzialnością,"Śniadaniowa rewolucja w restauracji ""Stare Metropolis"" - nowe smaki na toruńskiej mapie kulinarnej (Region 1 - kujawsko-pomorskie)",KUJAWSKO-POMORSKIE,Toruń,Podmurna,28,87-100,492539.4
