Nazwa,Nazwa przedsięwzięcia,Miejsce Realizacji Województwo,Grantobiorca Miejscowość,Grantobiorca Ulica,Grantobiorca Nr budynku,Grantobiorca Kod pocztowy,Wartość wsparcia
Aneta Bednarska,"Zwiększenie odporności przedsiębiorstwa na sytuacje kryzysowe poprzez rozszerzenie zakresu usług i oferty sprzedażowej dla przyciągnięcia szerszej grupy klientów – mieszkańców, turystów i kuracjuszy przebywających w Solcu Zdroju w województwie świętokrzyskim.",ŚWIĘTOKRZYSKIE,Solec-Zdrój,1 Maja,1,28-131,229529.19
VON HAGEN POLSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Zwiększenie odporności i rozszerzenie działalności VON HAGEN SP. Z O.O. poprzez dywersyfikację usług (województwo świętokrzyskie),ŚWIĘTOKRZYSKIE,Kielce,Klonowa,55,25-553,419400.45
EDU - HOST Sp. z o.o.,"Inwestycja w Spichlerz Parku w regionie lubelskim mająca na celu wzrost odporności i konkurencyjności przedsiębiorstwa poprzez dywersyfikację działalności tj. zakup namiotów eventowych wraz z wyposażeniem, zakup kina plenerowego, rowerów elektrycznych wraz z podstroną do rezerwacji zgodną ze standardem WCAG 2.2., mikropojazdów elektrycznych, sauny, bali, oraz roweru kawowego naterenie województwa lubelskiego.",LUBELSKIE,Łódź,kpt. pilota Żwirki,6,90-450,532595.26
SYLWESTER MICEK PLANET,Ekologiczna Efektywność i Innowacje w Gastronomii dla klientów z Krakowa i województwa małopolskiego. Region 3,MAŁOPOLSKIE,Kraków,Eliasza Radzikowskiego,69,31-315,282834
"LIDIA CHRUŚCICKA ""MOLI""","Inwestycja w rozwój działalności firmy LIDIA CHRUŚCICKA ""MOLI"" w województwie Małopolskim - wdrożenie kompleksowych usług z zakresu organizacji eventów wraz z usługą cateringu mobilnego, dzięki czemu zwiększymy odporność firmy na potencjalne kryzysy w przyszłości, a także zwiększymy konkurencyjność podmiotu.",MAŁOPOLSKIE,Kraków,Marii Konopnickiej,92B,30-333,314361.68
PRIMA EVENT SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Dywersyfikacja działalności firmy PRIMA EVENT Sp. z o.o. poprzez wprowadzenie nowej usługi w branży turystycznej w regionie Lubelskim (region 3),LUBELSKIE,Lublin,Tadeusza Grodzickiego,89A,20-256,480000
"Zajazd PTTK ""Pod Roztoką"" Jan & Tomasz Kulig Spółka Cywilna","Dywersyfikacja oferty ZAJAZD PTTK ""POD ROZTOKĄ"" s.c. Kulig Jan, Kulig Tomasz poprzez wprowadzenie oferty zewnętrznych atrakcji takich jak imprezy okolicznościowe, jako dywersyfikacja usługi pod kątem odporności na przyszłe pandemie.",MAŁOPOLSKIE,Rytro,,186,33-343,128894.97
DOBRY DOM DEVELOPMENT SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Rozwinięcie profilu działalności Spółki związane z otwarciem Kawiarni w Krakowie z ofertą skierowaną dla mieszkańców oraz gości woj. małopolskiego (REGION 3),MAŁOPOLSKIE,Kraków,Zwierzyniecka,32,31-105,474000
Oliwiaski - Marian Grochowski,Rozszerzenie oferty wypożyczalni sprzętu sportowego i rekreacyjnego dla całorocznej aktywności firmy Oliwiaski - Marian Grochowski w Rejonie 3,MAŁOPOLSKIE,Małe Ciche,,46,34-531,147705.29
Biuro Usług Turystycznych CORAL-TOUR Dariusz Mróz,DYWERSYFIKACJA DZIAŁALNOŚCI W FIRMIE BIURA USŁUG TURYSTYCZNYCH CORAL-TOUR W CELU MINIMALIZACJI RYZYKA SPOWOLNIENIA LUB ZAPRZESTANIA DZIAŁALNOŚCI Z POWODU CZYNNIKÓW LOSOWYCH.,LUBELSKIE,Lublin,Okopowa,12,20-022,539442
