Nazwa,Nazwa przedsięwzięcia,Miejsce Realizacji Województwo,Grantobiorca Miejscowość,Grantobiorca Ulica,Grantobiorca Nr budynku,Grantobiorca Kod pocztowy,Wartość wsparcia
"ANDRZEJ KUDŁACZ ""ASTORIA""","Dywersyfikacja oferty handlowej przedsiębiorstwa ANDRZEJ KUDŁACZ ""ASTORIA"" poprzez wprowadzenie nowych usług na terenie woj. Świętokrzyskiego, region nr 3.",ŚWIĘTOKRZYSKIE,Końskie,16 Stycznia,1A,26-200,472706.85
AMALFI s.c. BARBARA BIERNACKA ," MAREK BYTOWSKI,Dywersyfikacja oferty przedsiębiorstwa AMALFI s.c. BARBARA BIERNACKA , MAREK BYTOWSKI poprzez wprowadzenie nowych produktów i usług w woj. Małopolskim, region nr 3.",MAŁOPOLSKIE,Kraków,Wrocławska,43A,30-011,432830.38
"Restauracja ""Pod Wietrzną Górą"" Ryszard Łaziński","ZWIĘKSZENIE ODPORNOŚCI NA ZDARZENIA LOSOWE W RESTAURACJI ""POD WIETRZNĄ GÓRĄ”",LUBELSKIE,Kazimierz Dolny,Krakowska,1,24-120,519752.65
"MALWINA STRAMA FIRMA HANDLOWO - USŁUGOWA ""MALWA""",Zwiększenie rentowności Hotelu Górski Raj położonego w regionie małopolskim poprzez wprowadzenie nowej usługi polegającej na organizacji i kompleksowej obsłudze wydarzeń szkoleniowo-konferencyjnych,MAŁOPOLSKIE,Poręba Wielka,,765,34-735,474000
PATIGO PAWEŁ GOROŃ,"Dywersyfikacja działalności firmy PATIGO PAWEŁ GOROŃ na ternie województwa świętokrzyskiego poprzez inwestycje w produkty, usługi i wzrost kompetencji pracowników firmy.",ŚWIĘTOKRZYSKIE,Kielce,Jana Chryzostoma Paska,8,25-108,187224.84
LIFESPORT.PL SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Wzmocnienie odporności przedsiębiorstwa LIFESPORT.PL SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ poprzez dywersyfikację działalności i wprowadzenie nowych usług. Projekt realizowany w regionie małopolskim.,MAŁOPOLSKIE,Kraków,Eliasza Radzikowskiego,59,31-315,532744.69
RAFAŁ PRYNC PAŁAC POLANKA RESTAURACJA," HOTEL & SPA, PRINC ILLUMINATION,Rozszerzenie działalności Pałacu Polanka (Podkarpacie) o uruchomienie nowej strefy basenowej, obejmujące wykończenie niecki basenowej oraz jacuzzi wraz z instalacją technologii basenowej oraz montaż sauny przy części hotelowej Polanka Conference Center wraz z instalacją nowej instalacji solarnej i modernizacją cyfrową jak i niezbędnymi usługami szkoleniowymi i doradczymi",PODKARPACKIE,Krosno,ks. Jerzego Popiełuszki,103,38-400,472657
"Agencja Turystyczna ""Bieszczady Adventure"" Daniel Wojtas","Wzmocnienie odporności i konkurencyjności firmy Agencja Turystyczna ""Bieszczady Adventure"" Daniel Wojtas w woj. podkarpackim poprzez dywersyfikację działalności gospodarczej w kierunku wypożyczania sprzętu rekreacyjnego.",PODKARPACKIE,Polańczyk,Zdrojowa,11,38-610,396826.08
HTF PILISZCZUK," FLISIUK SPÓŁKA JAWNA,Rozszerzenie działalności poprzez wprowadzenie usługi realizacji kursów sztuk walki (Takewondo) w Hotelu Focus CK w Lublinie",LUBELSKIE,Lublin,Aleja Warszawska,109,20-832,419400.01
PILISZCZUK ANNA HOTEL RESTAURACJA FOCUS,Wzmacnianie odporności przedsiębiorstwa poprzez wprowadzenie do oferty usług - Kursu Jogi i zajęć gimnastycznych,LUBELSKIE,Lublin,Aleja Kraśnicka,80,20-718,418800
Jan Guziak Apartamenty Folk & Art,Dywersyfikacja działalności Jan Guziak Apartament Folk & Art i uodpornienie na przyszłe kryzysy poprzez wprowadzenie do oferty nowych usług dla nowej grupy klientów,MAŁOPOLSKIE,Zakopane,Krupówki,25,34-500,289348.14
Luxor&Atelia Hotels Spółka z Ograniczoną Odpowiedzialnością,"Dywersyfikacja i rozszerzenie działalności poprzez wprowadzenie nowej usługi zewnętrznej polegającej na organizacji obsługi gastronomicznej imprez plenerowych , na świeżym powietrzu pod namiotami, w miejscu wskazanym przez kontrahenta oraz wprowadzenie nowej usługi - bezpłatne udostępnianie rowerów elektrycznych z dodatkowo zamontowaną reklamą oferowanych przez nas usług plenerowych, w celu propagowania zdrowego stylu życia oraz pokazania naszego pięknego miasta i regionu.",LUBELSKIE,Lublin,Aleja Warszawska,175A,20-824,534635.95
F.H.U. RoKo-BHP Robert Kośmider,Dywersyfikacja działalności w obszarze wynajmu krótkoterminowego oraz budowa strefy SPA,MAŁOPOLSKIE,Tenczyn,,734,32-433,499331.55
Folwark Toporzysko Dariusz Waligórski,Zakup zaplecza technicznego do kursów jazdy konnej w celu dywersyfikacji usług w branży HoReCa (Region 3 – województwo małopolskie),MAŁOPOLSKIE,Toporzysko,,454,34-240,509940
NATALIA GIBAŁA NESS,"Wzmocnienie przedsiębiorstwa NATALIA GIBAŁA NESS poprzez dywersyfikację,wprowadzenie nowych produktów i usług. Projekt realizowany w regionie małopolskim.",MAŁOPOLSKIE,Kraków,Nad Zalewem,15,30-235,406767.46
TASK FORCE KRAKÓW DANIEL MRUGAŁ,Dywersyfikacja działalności TASK FORCE KRAKÓW DANIEL MRUGAŁA i uodpornienie na przyszłe kryzysy poprzez wprowadzenie do oferty nowych usług w zakresie wypożyczania idzierżawy sprzętu rekreacyjnego i sportowego. Region 3- województwo Małopolskie.,MAŁOPOLSKIE,Nowy Targ,Podtatrzańska,76,34-400,503431.72
WOJCIECH MENŻYK,Inwestycja w uodpornienie na sytuacje kryzysowe działalności przedsiębiorstwa z Regionu 3 województwo małopolskie.,MAŁOPOLSKIE,Oświęcim,Bolesława Chrobrego,7,32-600,162009.93
GRZEGORZ BOROWSKI Home & More,Zakup sprzętu i oprogramowania oraz usług w celu dywersyfikacji działalności w firmie GRZEGORZ BOROWSKI Home & More (Region 3 – województwo małopolskie),MAŁOPOLSKIE,Kraków,Józefa Dietla,105,31-031,533880
GABOREK W. GABOREK," A. GABOREK-ZIĘBIEC - SPÓŁKA JAWNA,Przygotowanie infrastruktury i przeszkolenie pracowników pensjonatu w celu rozpoczęcia świadczenia kompleksowych usług dla klientów biznesowych - w woj. małopolskim",MAŁOPOLSKIE,Krynica-Zdrój,Szkolna,7,33-380,503703.48
KORONA MM MICHAŁ MISZTAL,Dywersyfikacja działalności firmy KORONA MM MICHAŁ MISZTAL o nowe usługi w zakresie Kompleksowej wypożyczalni sprzętu rekreacyjnego i sportowego o napędzie elektrycznym w województwie świętokrzyskim,ŚWIĘTOKRZYSKIE,Kielce,Brzozowa,12,25-209,473905.8
RUSIŃ-SKI SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Zwiększenie odporności przedsiębiorstwa na kryzysy gospodarcze oraz rozwój przedsiębiorstwa poprzez realizację przedsięwzięcia polegającego na rozszerzeniu działalności w zakresie usług i produktów gastronomicznych realizowanego w Regionie 3 w województwie małopolskim.,MAŁOPOLSKIE,Bukowina Tatrzańska,Wierch Rusiński,70,34-530,435106.8
S.C. SABAT AGATA DAŃDA," NATALIA DAŃDA-KOZIOŁ,Wdrożenie usługi kina sferycznego z funkcjonalnością mobilną w S.C. SABAT AGATA DAŃDA, NATALIA DAŃDA-KOZIOŁ w województwie świętokrzyskim",ŚWIĘTOKRZYSKIE,Kraków,Lwa Landaua,18,30-698,473988.94
FOLWARK WIĄZY," OŚRODEK PSYCHOTERAPII I PSYCHOEDUKACJI, INDYWIDUALNA PRAKTYKA LEKARSKA AGNIESZKA RUBINOWSKA,Dywersyfikacja działalności firmy Folwark Wiązy w regionie Małopolski o otwarcie całorocznej restauracji, rozwój usług cateringowych, organizację wycieczek rowerowych oraz wprowadzenie ekologicznych i cyfrowych rozwiązań (projekt realizowany na obszarze Regionu 3 - województwa lubelskie, małopolskie, podkarpackie, świętokrzyskie)R",MAŁOPOLSKIE,Marszowice,,56,32-420,420886.41
Magdalena Adamczyk Magddom,"Wzmocnienie odporności oraz potencjału rozwojowego firmy Magdalena Adamczyk Magddom poprzez dywersyfikację działalności, która obejmuje otwarcie centrum SPA oraz wypożyczalni rowerów elektrycznych na terenie województwa małopolskiego.",MAŁOPOLSKIE,Kraków,Józefa Dietla,97,31-031,540000
Ewa Wrona Aparthotel Adler,Wzmocnienie odporności oraz potencjału rozwojowego Firmy Aparthotel Adler poprzez dywersyfikację działalności w obszarze utworzenia restauracji na terenie województwa małopolskiego,MAŁOPOLSKIE,Kraków,Piwna,7,30-527,540000
"Usługi hotelarskie ""ZBÓJNICÓWKA"" Anna Łukaszczyk","Dywersyfikacja działalności przedsiębiorstwa Usługi hotelarskie ""ZBÓJNICÓWKA"" Anna Łukaszczyk zlokalizowanego w Bukowinie Tatrzańskiej (województwo małopolskie – Region 3) poprzez wprowadzenie do oferty usług związanych z organizowaniem wydarzeń sportowych.",MAŁOPOLSKIE,Bukowina Tatrzańska,Wierch Olczański,99,34-530,336194.91
PRZEDSIĘBIORSTWO USŁUGOWE Hubert Niedziałek,"Dywersyfikacja działalności przedsiębiorstwa ""PRZEDSIĘBIORSTWO USŁUGOWE Hubert Niedziałek"" poprzez realizację projektu zlokalizowanego na terenie Województwa Lubelskiego.",LUBELSKIE,Piotrawin,,95,24-335,539829.18
ARKTOS CREAM BARAN NATALIA,"Dywersyfikacja działalności ARKTOS CREAM BARAN NATALIA poprzez działania inwestycyjne, szkoleniowe i doradcze realizowane w województwie podkarpackim",PODKARPACKIE,Wesoła,,534,36-233,442684.85
Helion Group Michał Blicharski,Wdrożenie nowej usługi Helion Events w przedsiębiorstwie Helion Group Michał Blicharski w województwie świętokrzyskim,ŚWIĘTOKRZYSKIE,Pińczów,Generała Władysława Sikorskiego,11,28-400,309626.1
CENTRUM NISKICH CEN MICHAŁ HADWICZAK,"Rozszerzenie działalności prowadzonej przez CENTRUM NISKICH CEN MICHAŁ HADWICZAK w regionie małopolskim w celu ograniczenia skutków kryzysu wywołanego przez COVID-19”,MAŁOPOLSKIE,Rabka-Zdrój,Marszałka Piłsudskiego,pawilon 11,34-700,540000
FIRMA HANDLOWO-USŁUGOWA ZENIT"" S.C. JÓZEF WĘGRZYN, PRZEMYSŁAWWĘGRZYN,Dywersyfikacja i rozszerzenie działalności FIRMA HANDLOWO-USŁUGOWA ""ZENIT"" S.C. JÓZEF WĘGRZYN, PRZEMYSŁAW WĘGRZYN poprzez wprowadzenie usługrestauracyjnych i cateringowych na terenie Małopolski.",MAŁOPOLSKIE,Bochnia,Józefa Ignacego Kraszewskiego,7,32-700,539989.46
PIMIENTO RYNEK GŁÓWNY MARCIN SEWERYN," ŁUKASZ PRZYBYLSKI SPÓŁKA JAWNA,Dywersyfikacja działalności Pimiento Rynek Główny Marcin Seweryn, Łukasz Przybylski Spółka Jawna i uodpornienie na przyszłe kryzysy poprzez wprowadzenie oferty dań w słoikach sprzedawanych w ramach cateringu — Region 3",MAŁOPOLSKIE,Kraków,Stolarska,13,31-043,414000
Przemysław Węgrzyn PRZEDSIĘBIORSTWO HANDLOWE,Dywersyfikacja i rozszerzenie działalności firmy Przemysław Węgrzyn PRZEDSIĘBIORSTWO HANDLOWE o nowe usługi restauracyjne i noclegowe w regionie małopolskim.,MAŁOPOLSKIE,Bochnia,Józefa Ignacego Kraszewskiego,7,32-700,539678.97
Projekt Magdalena Walczyszyn,"Wprowadzenie usługi organizacji, zarządzania i obsługi imprez przez Projekt Magdalena Walczyszyn w województwie świętokrzyskim",ŚWIĘTOKRZYSKIE,Lechów,,137a,26-004,247337.1
"Noclegi ""Biały Bór"" Marcin Paradowski","Stworzenie strefy SPA z wykorzystaniem odnawialnych źródeł energii szansą na zwiększenie odporności pensjonatu ""Biały Bór"" z Regionu 3",PODKARPACKIE,Polańczyk,Bieszczadzka,1,38-610,163771
ATLANTIC SQUASH & FITNESS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Wprowadzenie nowej usługi w przedsiębiorstwie z Regionu 3 województwo małopolskie w celu łagodzenie skutków pandemii Covid 19.,MAŁOPOLSKIE,Kraków,Stradomska,15,31-068,229176.6
PRZEDSIĘBIORSTWO HANDLOWO-GASTRONOMICZNE - MAREK HUNEK,"Wypożyczalnia rowerów w strategicznie wybranej lokalizacji przy Kozłowieckim Parku Krajobrazowym, znajdującym się w Regionie 3, który skupia województwa: lubelskie, małopolskie, podkarpackie oraz świętokrzyskie.",LUBELSKIE,Wola Niemiecka,,176,21-025,519817.01
Szymon Mosiołek TEG,"Wzmocnienie odporności oraz potencjału rozwojowego firmy TEG Szymon Mosiołek poprzez uruchomienie nowych usług (region 3, województwo Małopolskie)",MAŁOPOLSKIE,Kraków,Krowoderska,4,31-142,416882.5
BOSID SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Hybrydowe Centrum Kongresowe - Innowacyjne rozwiązania dla małopolskich wydarzeń biznesowych,MAŁOPOLSKIE,Rzeszotary,Żelechowskich,6,32-040,539190
NEOMESSE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA,Zakup modułowego systemu wystawienniczego w celu dywersyfikacji usług w branży HoReCa (Region 3 – województwo małopolskie),MAŁOPOLSKIE,Kraków,Mierzeja Wiślana,9,30-732,250782
POLKA TRAVEL 1 SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,"Dywersyfikacja działalności Polka Travel 1 w województwie świętokrzyskim, poprzez inwestycje w bazę usługową, podnoszenie kwalifikacji pracowników poprzez szkolenia oraz wdrożenie usługi doradczej celem zwiększenia konkurencyjności i odporności w branży HoReCa",ŚWIĘTOKRZYSKIE,Kielce,Żytnia,10,25-018,372067.75
MACIEJ NIZIOŁEK FHU 'NIZI',"Dywersyfikacja działalności Maciej Niziołek FHU ""NIZI"" w restauracji ""GROBLE"", prowadzonej w Regionie 3, województwo małopolskie",MAŁOPOLSKIE,Kraków,pl. Plac Na Groblach,22,31-101,310358.32
H2O-SZKOLENIA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Zakup łodzi z silnikiem elektrycznym w celu uruchomienia nowej usługi jakim będą rejsy i czarter łodzi na ternie regionu podkarpackiego.,PODKARPACKIE,Łańcut,os. osiedle 3-go Maja,3,37-100,320950
PRZEDSIĘBIORSTWO USŁUGOWE EWA MUSZYŃSKA,Dywersyfikacja działalności PRZEDSIĘBIORSTWA USŁUGOWEGO EWA MUSZYŃSKA w celu uodpornienia firmy przed kryzysami gospodarczo-społecznymi (Region 3 - Podkarpacie),PODKARPACKIE,Czudec,Rzeszowska,37,38-120,228321
MEDIUSZ S.C. A.GRZECHYNKA," P.REGUŁAAndrzej Marcin GrzechynkaPiotr Tadeusz Reguła,Rozszerzenie działalności biura podróży Mediusz poprzez organizacje zajęć dla dzieci, wycieczek skiturowych, wycieczek rowerowych, wycieczek po Beskidach i Krakowie oraz zmiany w asortymencie usług w wypożyczalni i ofercie wycieczek trekkingowych w województwie małopolskim.",MAŁOPOLSKIE,Kraków,Jerzego Samuela Bandtkiego,19,31-129,239080.63
JACEK BARANEK MPG,Rozszerzenie prowadzonej działalności wnioskdawcy poprzez wprowadzenie nowej usługi w postaci organizacji różnego rodzaju imprez plenerowych w rustykalnej otwartej stodole w regionie 3 w wojewódtzwie małopolskim.,MAŁOPOLSKIE,Kraków,Topolowa,30,31-506,540000
"FIRMA HANDLOWO-USŁUGOWA ""CZTERY PORY ROKU""S.C.","CURLEJ MACIEJ I BEATA,Inwestycja w rozwój i uodpornienie na sytuacje kryzysowe działalności FHU ""CZTERY PORY ROKU"" S.C.,CURLEJ MACIEJ I BEATA realizowana w województwie małopolskim.",MAŁOPOLSKIE,Kościelisko,Królewska,41,34-511,325721.85
DG APARTAMENTY I TURYSTYKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,"Rozwój i dywersyfikacja oferty DG APARTAMENTY I TURYSTYKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ poprzez inwestycję w bazę usługową obejmującą rozbudowę bazy hotelowej oraz stworzenie pralni i wypożyczalni rowerów, skierowanej na potrzeby turystów odwiedzających Przemyśl (województwo podkarpackiego – REGION 3)",PODKARPACKIE,Przemyśl,Rakoczego,8,37-700,464498.77
Polskie Manufaktury Gastronomiczne sp. z o.o.,Rozwój Pałacu Czeczotka w Krakowie w kierunku wprowadzenia nowych usługgastronomicznych.,MAŁOPOLSKIE,Kraków,św. Anny,2,31-008,506924.72
"JACEK ŁODZIŃSKI RESTAURACJA ""POD ANIOŁAMI""",Inwestycja w rozwój i wzmocnienie odporności działalności Restauracji Pod Aniołami w województwie Małopolskim poprzez dywersyfikację oferty.,MAŁOPOLSKIE,Kraków,Grodzka,35,31-001,214195.21
UZDROWISKO KOPALNIA SOLI BOCHNIA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Dywersyfikacja działalności UZDROWISKO KOPALNIA SOLI BOCHNIA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ i uodpornienie na przyszłe kryzysy poprzez wprowadzenie do oferty nowych usług w zakresie wypożyczania i dzierżawy sprzętu rekreacyjnego i sportowego wraz z organizacją eventów (targów i wystaw) - Region 3 - województwo małopolskie,MAŁOPOLSKIE,Bochnia,Solna,2,32-700,355590.91
FIRMA HANDLOWO- USŁUGOWA BUDROB ROBERT CIEPIELOWSKI,"Dywersyfikacja działalności przedsiębiorstwa FIRMA HANDLOWO- USŁUGOWA BUDROB ROBERT CIEPIELOWSKI poprzez przebudowę i nadbudowę obiektu, zakup wyposażenia, rozwiązań cyfrowych oraz usługi szkoleniowej w regionie 3 (Małopolska)",MAŁOPOLSKIE,Pławna,,93A,33-190,526464
ADAM GÓRECKI TRANSPORT OSOBOWY,"Wzmocnienie odporności na wypadek wystąpienia sytuacji kryzysowych przedsiębiorstwa ADAM GÓRECKI TRANSPORT OSOBOWY z siedzibą w regionie Małopolska, poprzez wprowadzenie nowej usługi ogólnodostępnego SPA.",MAŁOPOLSKIE,Rabka-Zdrój,Podhalańska,48c,34-700,417845.71
HOTEL WILGA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Dywersyfikacja działalności Spółki HOTEL WILGA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ o nowe usługi skierowane do mieszkańców Krakowa i Małopolski (REGION 3),MAŁOPOLSKIE,Kraków,Przedwiośnie,16,30-502,539677.8
ASCOT HOTEL MALINOWSKI," WRZECIONEK SPÓŁKA JAWNA,Uruchomienie wypożyczalni rowerów jako dywersyfikacja działalności Ascot Hotel w Krakowie w woj. małopolskim (Region 3)",MAŁOPOLSKIE,Kraków,Radziwiłłowska,3,31-026,459511
"Przedsiębiorstwo Turystyczno Handlowe ""JAGA TOUR"" Grzegorz Łojek","Uruchomienie usługi cateringu w Ośrodku Turystyczno-Wypoczynkowym ""Jodłowy Dwór"" w województwie świętokrzyskim",ŚWIĘTOKRZYSKIE,Huta Szklana,,34,26-004,269519
CBMO Wojciech Pęcak,Dywersyfikacja działalności firmy CBMO Wojciech Pęcak i uodpornienie na przyszłe kryzysy poprzez wprowadzenie oferty kawiarnianej - Region 3,LUBELSKIE,Kłodnica Dolna,,16,24-224,246614.4
Xclusive Event Małgorzata Latko,Rozwój i dywersyfikacja działalności Biura Podróży Xclusive Event w województwie małopolskim w ramach zwiększenia konkurencyjności gospodarki i wspierania mikroprzedsiębiorstw (Region 3 - małopolskie),MAŁOPOLSKIE,Chrzanów,Kardynała Stefana Wyszyńskiego,9,32-500,110384.72
Romanowski Mirosław Przedsiębiorstwo Wielobranżowe Romanum Zajazd Imperium,Dywersyfikacja działalności Romanowski Mirosław Przedsiębiorstwo Wielobranżowe Romanum Zajazd Imperium w celu rozbudowy i umocnienia pozycji w branży HoReCa w województwie lubelskim,LUBELSKIE,Firlej,Lubelska,1,21-136,515966.59
CENTRUM SPORTOWO REKREACYJNE STADION SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Wdrożenie nowych usług w firmie Centrum Sportowo Rekreacyjne Stadion sp. z o.o. w województwie świętokrzyskim,ŚWIĘTOKRZYSKIE,Kielce,al. Na Stadion,365,25-127,493701.6
Michał Smoła Wysoka Perspektywa,Wzmocnienie odporności i potencjału rozwojowego firmy Michał Smoła Wysoka Perspektywa poprzez dywersyfikację działalności polegającą na wprowadzeniu nowej usługi: wypożyczalni katamaranów elektrycznych z zainstalowanymi panelami solarnymi.,MAŁOPOLSKIE,Skrzyszów,,343b,33-156,531101
AGENCJA TURYSTYCZNA PERFECT-TRAVEL S.C. MARIUSZ KRZYSTEK," SABINA MĄDRACKA,Dywersyfikacja zakresu prowadzonej działalności o wynajem sprzętu rekreacyjnego w województwie małopolskim (region nr 3)",MAŁOPOLSKIE,Kalwaria Zebrzydowska,Adama Mickiewicza,17,34-130,527714.1
CUSTOM P.KLAUDA," M.MACHLARZ SPÓŁKA JAWNA,Wzmocnienie odporności i konkurencyjności firmy CUSTOM P.KLAUDA, M.MACHLARZ SPÓŁKA JAWNA w woj. lubelskim poprzez dywersyfikację działalności gospodarczej w kierunku wprowadzenia nowej linii usług cateringowych.",LUBELSKIE,Lublin,Kleopatry,12,20-704,379826.24
WIP MACHLARZ MARIUSZ," KLAUDA PAWEŁ SPÓŁKA JAWNA,Wzmocnienie odporności i konkurencyjności firmy WIP MACHLARZ MARIUSZ, KLAUDA PAWEŁ SPÓŁKA JAWNA w woj. lubelskim poprzez dywersyfikację działalności gospodarczej w kierunku wprowadzenia nowej linii usług cateringowych.",LUBELSKIE,Lublin,Kleopatry,12,20-704,400582.83
Mały Robinson 2 Monika Szufa,Dywersyfikacja działalności poprzez wprowadzenie innowacyjnego centrum interaktywnej edukacji sportowej dla dzieci i młodzieży w Małopolsce.,MAŁOPOLSKIE,Nowy Sącz,Jeremiego Wiśniowieckiego,132,33-300,533618.46
Firma Handlowo-Usługowa Adam OLSZAŃSKI,"Inwestycja w Regionie 3 na terenie województwa podkarpackiego polegająca na zwiększeniu odporności przedsiębiorstwa na sytuacje kryzysowe oraz dywersyfikację dotychczasowej działalności gospodarczej, której celem będzie obsługa i zarządzanie wydarzeniami w sektorze kultury, dzięki inwestycji w zaawansowany system nagłośnieniowy oraz zakup miksera wizyjnego wraz z kamerami wideo.",PODKARPACKIE,Skołoszów,Jana Pawła II,60,37-550,428061.22
ANABILIS URSZULA WISOWSKA,Wzmocnienie odporności i konkurencyjności firmy Anabilis Urszula Wisowska w woj. lubelskim poprzez dywersyfikację działalności gospodarczej w kierunku wprowadzenia nowej linii usług cateringowych w ciągu 12 miesięcy,LUBELSKIE,Lublin,Olejna,10,20-114,413545.67
"FIRMA GASTRONOMICZNA ""AJAX"" S.C. ZBIGNIEW PRZEBINDA. MONIKA PRZEBINDA","Rozszerzenie działalności Firmy Gastronomicznej 'Ajax' S.C. ZBIGNIEW PRZEBINDA MONIKA PRZEBINDA poprzez wprowadzenie nowych usług i modernizację infrastruktury lokalu w Nowej Hucie (Kraków). Region 3, województwo małopolskie",MAŁOPOLSKIE,Kraków,Bulwarowa,43,31-978,253985
EKAM Edward Rzepka,Wzrost konkurencyjności firmy EKAM Edward Rzepka poprzez rozszerzenie działalności gospodarczej związanej z otworzeniem usług gastronomicznych stacjonarnych na terenie Rzeszowa woj. Podkarpackie.,PODKARPACKIE,Trzebownisko,,1075,36-001,241740
